mode,load,0_mobilenet_v3_large-4,1_resnet18-2,2_vgg19-8
mps-uncap,0.8,7.588863372802734,4.658007621765138,7.094860076904297
mps-uncap,0.9,7.916808128356934,4.860329627990722,7.2048187255859375
mps-uncap,1.0,7.49967098236084,5.320119857788086,7.290124893188477
mps-uncap,0.5,7.7465057373046875,4.661083221435547,6.666707992553711
mps-uncap,0.6,7.591962814331055,4.746532440185547,6.751656532287598
mps-uncap,0.7,7.163190841674805,4.862451553344727,6.966590881347656
mps-uncap,0.1,7.573604583740234,3.3332824707031254,6.279087066650391
mps-uncap,0.2,7.724285125732422,3.447151184082031,6.353330612182617
mps-uncap,0.3,7.948398590087891,4.276823997497559,6.426525115966797
mps-uncap,0.4,7.908105850219727,4.443597793579102,6.525754928588867
