mode,load,0_resnet18-2,1_squeezenet1_1-4,2_vgg13-2
mps-uncap,0.8,186.09237670898438,5.716085433959961,15.295743942260742
mps-uncap,0.9,26.604771614074707,3152.228355407715,1932.8618049621582
mps-uncap,1.0,8300.958275794983,602.8344631195068,4622.920751571655
mps-uncap,0.5,3.1048059463500977,2.6092529296875,2.687215805053711
mps-uncap,0.6,3.662586212158203,2.6383399963378906,3.314971923828125
mps-uncap,0.7,6.217241287231445,3.393888473510742,5.088329315185547
mps-uncap,0.1,4.539251327514648,3.9777755737304688,2.4900436401367188
mps-uncap,0.2,4.589557647705078,4.014253616333008,2.4025440216064453
mps-uncap,0.3,4.284858703613281,3.7565231323242188,2.394437789916992
mps-uncap,0.4,3.6034584045410156,3.331780433654785,2.461075782775879
