mode,load,0_resnet18-2,1_squeezenet1_1-4,2_vgg13-2
mps-uncap,0.8,1.956939697265625,1.6820430755615234,1.86920166015625
mps-uncap,0.9,1.8944740295410156,1.7757415771484375,2.109527587890625
mps-uncap,1.0,1.9497871398925781,1.6984939575195312,2.0062923431396484
mps-uncap,0.5,1.928567886352539,1.6930103302001953,1.8510818481445312
mps-uncap,0.6,1.9102096557617188,1.6999244689941406,1.752614974975586
mps-uncap,0.7,1.91497802734375,1.6999244689941406,1.7549991607666016
mps-uncap,0.1,2.3736953735351562,2.1615028381347656,1.8529891967773438
mps-uncap,0.2,1.9764900207519531,1.8062591552734375,1.8646717071533203
mps-uncap,0.3,1.9245147705078125,1.695871353149414,1.844644546508789
mps-uncap,0.4,1.943826675415039,1.7020702362060547,1.8579959869384766
