mode,load,0_efficientnet_b5-32,1_resnet101-2,2_resnet34-4
mps-uncap,0.8,39.22715187072754,23.787546157836918,13.123273849487305
mps-uncap,0.9,36.83891296386719,26.464915275573734,16.44973754882813
mps-uncap,1.0,38.35101127624512,24.496841430664062,13.474035263061523
mps-uncap,0.5,37.47668266296387,22.447443008422855,11.274743080139162
mps-uncap,0.6,38.22002410888672,20.833969116210938,12.744569778442385
mps-uncap,0.7,38.558125495910645,23.299217224121094,12.674307823181152
mps-uncap,0.1,42.05150604248047,20.886778831481934,8.08420181274414
mps-uncap,0.2,35.33594608306885,20.65420150756836,8.092904090881348
mps-uncap,0.3,36.5290641784668,21.359348297119137,8.182096481323242
mps-uncap,0.4,36.884403228759766,22.083401679992676,10.364532470703125
