mode,load,0_efficientnet_b5-32,1_resnet101-2,2_resnet34-4
mps-uncap,0.8,30.219554901123047,8.829832077026367,3.3941268920898438
mps-uncap,0.9,32.273292541503906,8.935689926147461,3.342151641845703
mps-uncap,1.0,32.32431411743164,9.104728698730469,3.4973621368408203
mps-uncap,0.5,29.468059539794922,9.073734283447266,3.371715545654297
mps-uncap,0.6,29.63089942932129,8.965492248535156,3.356456756591797
mps-uncap,0.7,29.722929000854492,8.838415145874023,3.351926803588867
mps-uncap,0.1,31.438589096069336,9.005308151245117,3.543376922607422
mps-uncap,0.2,29.352188110351562,8.899688720703125,3.459930419921875
mps-uncap,0.3,29.321670532226562,9.001016616821289,3.3578872680664062
mps-uncap,0.4,29.35171127319336,8.834362030029297,3.3500194549560547
