mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,16.297101974487305,21.98195457458496,4.093408584594727
mig,0.6,33.94317626953125,66.94555282592773,4.103899002075195
mps-uncap,0.7,16.451358795166016,22.57561683654785,4.065752029418945
mig,0.7,33.95652770996094,67.01946258544922,4.093408584594727
mps-uncap,0.8,16.41058921813965,24.75881576538086,4.180192947387695
mig,0.8,33.79654884338379,66.97988510131836,4.047632217407227
mps-uncap,0.9,16.439199447631836,24.666547775268555,4.178524017333984
mig,0.9,33.980607986450195,67.13557243347168,4.040241241455078
mps-uncap,1.0,16.808509826660156,25.0546932220459,4.930973052978516
mig,1.0,34.07621383666992,67.42262840270996,4.034519195556641
mps-uncap,1.1,16.511917114257812,25.238752365112305,9.710550308227539
mig,1.1,34.76357460021973,67.76762008666992,4.081249237060547
mps-uncap,1.2,16.798973083496094,25.20442008972168,10.839223861694336
mig,1.2,35.84599494934082,68.31955909729004,4.179477691650391
mps-uncap,1.3,17.416954040527344,54.98814582824707,10.183572769165039
mig,1.3,35.92658042907715,69.1518783569336,4.092216491699219
