mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,37.68220424652099,108.9740371704101,238.52819204330441
mig,0.6,157.76340723037723,274.54509735107393,19.040241241455064
mps-uncap,0.7,43.2871437072754,150.61793327331546,792.2229003906249
mig,0.7,207.9043149948119,396.34140968322725,27.177536487579335
mps-uncap,0.8,59.35583114624036,194.83488559722892,19434.402346611023
mig,0.8,354.97189760208164,540.9265613555908,44.05895471572889
mps-uncap,0.9,87.67449855804443,259.47075366973814,32824.7719669342
mig,0.9,670.0365734100338,1034.3500804901125,77.71130323410037
mps-uncap,1.0,104.94401454925493,403.8574242591858,45273.26290130615
mig,1.0,1271.420788764953,5627.574977874758,579.952907562256
mps-uncap,1.1,116.87952041625984,824.2195606231694,49508.795964717865
mig,1.1,8229.39673423767,5283.98103237152,6688.026261329651
mps-uncap,1.2,139.87464904785168,1540.100672245024,59914.26371097565
mig,1.2,15489.302673339838,13255.730934143066,13426.508481502533
mps-uncap,1.3,144.2179632186889,9335.60301065445,65688.3647441864
mig,1.3,21179.232831001285,19603.11276435852,19239.191641807556
