mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,553.7797858022999,268.6860470484846,2286.422487435251
mig,0.6,526.9827176596067,297.7289699879992,2215.2485667482933
mps-uncap,0.7,602.0668177893341,323.5653499636969,2618.506741620485
mig,0.7,638.7434860768185,335.7929026888191,2592.723801902161
mps-uncap,0.8,715.6474288629771,381.4565264447355,2404.7082122111005
mig,0.8,715.6295103538569,346.9856257717841,3019.103541685506
mps-uncap,0.9,818.41922079463,409.0811739195775,2136.744466373143
mig,0.9,818.4139054404487,407.80070843359283,3367.534182597312
mps-uncap,1.0,910.3647406975974,468.0935331021567,1895.5500084901864
mig,1.0,870.0397348128164,464.8639997658045,3774.418716150629
mps-uncap,1.1,942.2634782122637,524.2569468353898,1831.5663602975824
mig,1.1,891.3104705850981,459.37900638341665,3803.9540800149966
mps-uncap,1.2,1055.1080859167112,538.2822165742164,1520.6431493893558
mig,1.2,894.8716349886046,462.9624679724374,3801.3048533654473
mps-uncap,1.3,1150.021396454802,523.6757349490122,1330.3339058316872
mig,1.3,893.2504664144299,464.3111260848694,3826.3647493248186
