mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,16.27063751220703,21.947860717773438,4.055976867675781
mig,0.6,33.71930122375488,66.81227684020996,4.065990447998047
mps-uncap,0.7,16.434669494628906,22.560596466064453,4.029512405395508
mig,0.7,33.94007682800293,66.95318222045898,4.055261611938477
mps-uncap,0.8,16.393184661865234,24.739742279052734,4.055261611938477
mig,0.8,33.77842903137207,66.96081161499023,4.012584686279297
mps-uncap,0.9,16.422510147094727,23.950815200805664,4.103899002075195
mig,0.9,33.84733200073242,67.0015811920166,3.9947032928466797
mps-uncap,1.0,16.75701141357422,24.852514266967773,4.07099723815918
mig,1.0,34.0580940246582,67.14892387390137,3.984212875366211
mps-uncap,1.1,16.36219024658203,24.54996109008789,4.05120849609375
mig,1.1,34.438133239746094,67.1701431274414,4.024505615234375
mps-uncap,1.2,16.780614852905273,24.27220344543457,4.033088684082031
mig,1.2,34.317731857299805,67.59786605834961,4.034280776977539
mps-uncap,1.3,17.399311065673828,22.234201431274414,4.0493011474609375
mig,1.3,34.52444076538086,67.67058372497559,3.9920806884765625
