mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,15.978670120239267,43.99442672729497,110.35521030426032
mig,0.6,74.0365743637085,154.95395660400388,9.43551063537598
mps-uncap,0.7,17.883753776550314,48.41275215148927,598.5071897506715
mig,0.7,112.5863790512085,248.6552715301514,13.427734375
mps-uncap,0.8,23.479461669921875,91.4869785308838,18045.53360939026
mig,0.8,179.11171913146973,276.95522308349615,20.33860683441162
mps-uncap,0.9,34.30664539337158,143.3676719665527,29445.265436172485
mig,0.9,435.820555686951,567.6233768463135,37.99879550933839
mps-uncap,1.0,43.99585723876953,215.2704477310181,41923.47397804262
mig,1.0,846.5148210525512,5119.762277603149,420.43557167053217
mps-uncap,1.1,42.63548851013185,498.83513450622587,45343.65487098694
mig,1.1,7055.093812942505,4719.339489936829,6278.709173202515
mps-uncap,1.2,63.18962574005127,1200.2098560333252,54225.05860328674
mig,1.2,14528.011560440063,12084.242033958433,12233.957529068006
mps-uncap,1.3,76.79748535156249,7754.272389411926,59500.46801567078
mig,1.3,19130.58414459229,16819.719886779785,17381.575012207035
