mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,18.195629119873047,30.040860176086426,4.190921783447266
mig,0.6,34.57808494567871,68.03512573242188,4.188299179077148
mps-uncap,0.7,18.32258701324463,29.707670211791992,4.151344299316406
mig,0.7,34.696340560913086,68.07303428649902,4.153013229370117
mps-uncap,0.8,18.88895034790039,40.02666473388672,4.199743270874023
mig,0.8,34.89696979522705,68.21763515472412,4.09698486328125
mps-uncap,0.9,19.086360931396484,40.51518440246582,4.270076751708984
mig,0.9,35.135746002197266,68.46189498901367,4.090785980224609
mps-uncap,1.0,19.42300796508789,41.568636894226074,4.354000091552734
mig,1.0,35.414695739746094,68.62711906433105,4.07862663269043
mps-uncap,1.1,19.732236862182617,42.632102966308594,4.608273506164551
mig,1.1,35.61520576477051,68.67372989654541,4.111289978027344
mps-uncap,1.2,19.721150398254395,45.013427734375,5.584001541137695
mig,1.2,35.468339920043945,68.68445873260498,4.130840301513672
mps-uncap,1.3,19.800662994384766,55.84728717803955,7.24482536315918
mig,1.3,35.48026084899902,68.71986389160156,4.090785980224609
