mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,57.550048828124986,153.15210819244382,245.11637687683103
mig,0.6,193.7353825569153,344.57978248596163,23.399419784545895
mps-uncap,0.7,63.360586166381864,192.38030433654794,798.1618070602417
mig,0.7,242.74064302444447,464.31134223937954,31.327998638153076
mps-uncap,0.8,80.19151687622075,244.97278213500942,19439.975900650024
mig,0.8,390.6089425086979,609.2241525650024,48.41214656829835
mps-uncap,0.9,109.27349328994751,332.3005056381224,32831.03145599365
mig,0.9,705.0814723968504,1102.7394533157349,81.91757917404176
mps-uncap,1.0,124.7460126876831,445.87942838668823,45277.424392700195
mig,1.0,1306.8362188339229,5697.4830627441415,584.0158462524414
mps-uncap,1.1,137.39543914794928,888.1446790695207,49517.85672903061
mig,1.1,8264.979286193848,5352.905499935149,6692.780411243439
mps-uncap,1.2,159.73209142684954,1629.65680360794,59921.74042224884
mig,1.2,15524.88976001739,13324.50642824173,13430.710546970367
mps-uncap,1.3,163.8965320587157,9394.54583644867,65709.29837226868
mig,1.3,21214.76535320282,19672.105731964108,19243.297171592712
