mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,19.556522369384766,41.1144495010376,24.013280868530273
mig,0.6,46.60749435424805,107.51485824584961,6.281375885009766
mps-uncap,0.7,19.84572410583496,41.716814041137695,212.59832382202148
mig,0.7,62.5460147857666,127.23684310913086,7.4100494384765625
mps-uncap,0.8,21.1331844329834,56.61129951477051,10583.201885223389
mig,0.8,80.50096035003662,131.25014305114746,9.511470794677734
mps-uncap,0.9,23.13554286956787,69.8544979095459,15992.546796798706
mig,0.9,168.39277744293213,228.10101509094238,15.195250511169434
mps-uncap,1.0,25.8638858795166,96.85850143432617,22940.284967422485
mig,1.0,298.46668243408203,3375.051498413086,98.53553771972656
mps-uncap,1.1,26.73196792602539,191.79010391235352,25121.554613113403
mig,1.1,3803.6410808563232,2061.487913131714,3325.6882429122925
mps-uncap,1.2,33.44559669494629,506.59918785095215,27902.25863456726
mig,1.2,9142.919063568115,6850.229024887085,6737.77449131012
mps-uncap,1.3,40.78185558319092,3595.3537225723267,31998.815774917603
mig,1.3,10813.806533813477,10247.994422912598,9405.472040176392
