mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,68.0081844329834,159.21831130981445,305.12332916259766
mig,0.6,236.96470260620117,383.6989402770996,40.297746658325195
mps-uncap,0.7,83.61554145812988,244.53186988830566,876.2969970703125
mig,0.7,259.0622901916504,540.9564971923828,65.22846221923828
mps-uncap,0.8,95.57127952575684,343.2343006134033,19501.315355300903
mig,0.8,460.6621265411377,628.0837059020996,66.65730476379395
mps-uncap,0.9,170.8676815032959,350.2380847930908,33183.54630470276
mig,0.9,746.7374801635742,1185.9495639801025,108.60896110534668
mps-uncap,1.0,174.76582527160645,520.6718444824219,45578.94682884216
mig,1.0,1424.1602420806885,5852.822542190552,650.5382061004639
mps-uncap,1.1,172.34230041503906,944.9324607849121,50095.39222717285
mig,1.1,8370.287656784058,5611.229658126831,6734.14158821106
mps-uncap,1.2,180.88865280151367,1712.937593460083,60369.747161865234
mig,1.2,15786.658525466919,13384.144306182861,13524.746656417847
mps-uncap,1.3,214.85233306884766,9523.269653320312,66315.79065322876
mig,1.3,21581.406593322754,19684.290170669556,19383.543968200684
