mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,22.095823287963867,59.62409973144531,13.476848602294949
mig,0.6,37.62960433959961,69.91128921508789,4.889583587646486
mps-uncap,0.7,21.768522262573242,64.13898468017582,14.233708381652844
mig,0.7,37.33980655670166,69.76313591003418,4.660248756408691
mps-uncap,0.8,22.215604782104492,73.77986907958984,16.251564025878906
mig,0.8,37.39047050476074,69.66760158538818,4.506587982177734
mps-uncap,0.9,22.512316703796387,82.90629386901853,18.2492733001709
mig,0.9,37.12317943572999,69.7420597076416,4.334902763366699
mps-uncap,1.0,23.01955223083496,91.70610904693605,19.894218444824226
mig,1.0,36.89219951629638,69.73958015441895,4.257631301879883
mps-uncap,1.1,22.947359085083008,96.16119861602785,19.70994472503662
mig,1.1,36.92317008972168,69.6831464767456,4.2743682861328125
mps-uncap,1.2,23.361921310424805,104.19511795043945,22.464179992675785
mig,1.2,36.7314338684082,69.60492134094238,4.250311851501466
mps-uncap,1.3,23.586893081665036,106.81936740875243,23.98371696472168
mig,1.3,37.590599060058594,69.71888542175293,4.25410270690918
