mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,28.429746627807617,116.48416519165039,38.71631622314453
mig,0.6,40.8940315246582,73.37474822998047,9.409904479980469
mps-uncap,0.7,44.51274871826172,124.1159439086914,35.86268424987793
mig,0.7,40.885210037231445,81.75063133239746,18.46790313720703
mps-uncap,0.8,28.055191040039062,124.07207489013672,37.1251106262207
mig,0.8,40.06147384643555,72.65377044677734,8.587121963500977
mps-uncap,0.9,27.12392807006836,122.67684936523438,39.554595947265625
mig,0.9,41.892051696777344,77.3468017578125,14.60123062133789
mps-uncap,1.0,29.23107147216797,121.28424644470215,40.35210609436035
mig,1.0,41.474342346191406,73.27723503112793,9.853839874267578
mps-uncap,1.1,29.741287231445312,126.98125839233398,38.16056251525879
mig,1.1,40.966033935546875,78.24349403381348,9.30023193359375
mps-uncap,1.2,29.538393020629883,124.20296669006348,41.907548904418945
mig,1.2,49.46303367614746,81.86650276184082,20.883560180664062
mps-uncap,1.3,29.855966567993164,123.14629554748535,40.72928428649902
mig,1.3,40.94195365905762,76.79271697998047,11.585235595703125
