mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,0.019311904907226562,0.025987625122070312,17.60685443878174
mig,0.6,11.67142391204834,39.25442695617676,1.8754005432128906
mps-uncap,0.7,0.018835067749023438,0.02384185791015625,207.2768211364746
mig,0.7,27.574539184570312,58.8374137878418,3.164529800415039
mps-uncap,0.8,0.019073486328125,3.5157203674316406,10576.800346374512
mig,0.8,45.131683349609375,62.67094612121582,5.257964134216309
mps-uncap,0.9,0.49304962158203125,17.292022705078125,15984.943389892578
mig,0.9,132.6761245727539,159.88874435424805,10.98775863647461
mps-uncap,1.0,5.517482757568359,41.6184663772583,22935.27364730835
mig,1.0,262.55130767822266,3307.1529865264893,94.3450927734375
mps-uncap,1.1,6.6280364990234375,139.19830322265625,25109.147429466248
mig,1.1,3768.463134765625,1992.3579692840576,3321.458101272583
mps-uncap,1.2,13.222932815551758,456.193208694458,27895.530462265015
mig,1.2,9107.492923736572,6781.747460365295,6733.638644218445
mps-uncap,1.3,20.122051239013672,3526.541829109192,31979.71224784851
mig,1.3,10778.238534927368,10178.633213043213,9401.20816230774
