mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,86.39168739318848,186.46240234375,309.89885330200195
mig,0.6,273.4112739562988,451.6174793243408,44.82698440551758
mps-uncap,0.7,103.27434539794922,276.8433094024658,881.8259239196777
mig,0.7,295.5336570739746,608.5882186889648,69.3197250366211
mps-uncap,0.8,114.98737335205078,445.85442543029785,19505.51152229309
mig,0.8,495.5592155456543,696.4290142059326,70.71352005004883
mps-uncap,0.9,191.9879913330078,409.96694564819336,33206.000566482544
mig,0.9,782.9773426055908,1254.3003559112549,112.7169132232666
mps-uncap,1.0,194.5490837097168,563.2832050323486,45594.1367149353
mig,1.0,1459.475040435791,5921.211719512939,654.5741558074951
mps-uncap,1.1,193.20011138916016,972.4180698394775,50107.52582550049
mig,1.1,8405.925512313843,5680.391073226929,6738.20161819458
mps-uncap,1.2,201.37691497802734,1757.8675746917725,60391.20268821716
mig,1.2,15822.639465332031,13453.070163726807,13533.12349319458
mps-uncap,1.3,234.97414588928223,9568.161249160767,66341.07375144958
mig,1.3,21617.353916168213,19752.80737876892,19387.566566467285
