mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,35.297918319702156,90.83547592163087,116.75558090209972
mig,0.6,110.22732257843018,223.26097488403317,13.741779327392587
mps-uncap,0.7,37.484979629516616,97.34125137329102,604.2518138885499
mig,0.7,148.0276584625244,316.5949821472168,17.684102058410645
mps-uncap,0.8,43.28346252441406,137.58773803710938,18053.205728530884
mig,0.8,213.82105350494385,345.57974338531494,24.523925781250004
mps-uncap,0.9,53.764939308166504,196.6547966003418,29450.50859451294
mig,0.9,470.6640243530276,635.3681087493896,42.164468765258796
mps-uncap,1.0,63.817739486694336,275.7242918014528,41940.89226722718
mig,1.0,882.8564167022704,5188.440370559692,424.60460662841797
mps-uncap,1.1,63.40670585632324,560.2536678314211,45352.17189788818
mig,1.1,7090.196180343628,4788.232159614563,6282.91654586792
mps-uncap,1.2,83.13822746276855,1257.0503711700437,54230.37118911743
mig,1.2,14565.007019042969,12154.160046577454,12240.330958366407
mps-uncap,1.3,97.38626480102539,7798.14953804016,59505.5775642395
mig,1.3,19166.214132308964,16888.43274116516,17385.688543319706
