mode,load,0_vgg13-32,1_densenet169-32,2_mobilenet_v3_small-16
mps-uncap,0.6,25.94993591308593,95.49666881561261,22.82551288604736
mig,0.6,38.98752689361572,71.53491020202637,6.588897705078124
mps-uncap,0.7,25.54771661758423,105.69221496582033,22.557132244110104
mig,0.7,38.84655237197876,71.8531322479248,6.478595733642577
mps-uncap,0.8,25.087404251098665,109.51457500457762,23.706779479980472
mig,0.8,39.08759355545044,71.94007396697998,6.475791931152345
mps-uncap,0.9,25.681793689727783,114.0131855010986,28.97429466247558
mig,0.9,39.1355299949646,72.1587610244751,6.326436996459961
mps-uncap,1.0,26.104927062988274,112.2123122215271,31.44982337951669
mig,1.0,38.969242572784424,72.07945823669435,6.127090454101563
mps-uncap,1.1,25.70542335510255,118.95975351333622,25.667762756347628
mig,1.1,39.27163124084473,72.44429349899292,6.2561988830566255
mps-uncap,1.2,26.211571693420435,117.30934143066406,35.33659458160399
mig,1.2,39.21589374542236,71.95574283599854,6.066250801086423
mps-uncap,1.3,26.086087226867676,119.62734460830688,36.96465492248535
mig,1.3,39.11228179931643,72.5450038909912,6.170349121093741
