mode,load,0_densenet169-32,1_mobilenet_v3_small-16,2_resnet101-16
mps-uncap,0.6,111.03106975555419,58.198363780975335,61.16801738739014
mig,0.6,216.32877349853496,25.458493232727047,170.3968787193299
mps-uncap,0.7,140.18328666686992,82.80444145202638,62.46138811111451
mig,0.7,243.3195781707763,34.26461219787596,317.9346323013304
mps-uncap,0.8,202.54192352294922,1798.769950866699,79.25282478332508
mig,0.8,669.434747695923,52.270472049713135,375.87708473205566
mps-uncap,0.9,274.61292743682884,16139.05679702759,111.04807615280157
mig,0.9,740.3284502029419,70.03502130508424,548.7317681312554
mps-uncap,1.0,406.98916435241654,27228.19750070572,123.36620569229127
mig,1.0,2497.2356176376315,313.7162446975708,1839.0411853790283
mps-uncap,1.1,2946.154842376709,34966.63148641586,169.7711658477783
mig,1.1,6744.799556732178,7657.844660282135,9087.835834026338
mps-uncap,1.2,3945.6554222106934,39061.92063093186,205.23633956909174
mig,1.2,15316.857831478119,14413.89778137207,13522.632484436033
mps-uncap,1.3,18670.08055448532,45232.52072095871,322.4250173568724
mig,1.3,19314.74393606186,21521.933012008667,20908.66323709488
