mode,load,0_densenet169-32,1_mobilenet_v3_small-16,2_resnet101-16
mps-uncap,0.6,34.058451652526855,9.331583976745605,19.663691520690918
mig,0.6,54.67391014099121,6.474971771240234,48.641204833984375
mps-uncap,0.7,36.711931228637695,16.109228134155273,21.82161808013916
mig,0.7,70.62959671020508,7.618904113769531,66.47884845733643
mps-uncap,0.8,47.88708686828613,1040.2703285217285,23.99730682373047
mig,0.8,94.77996826171875,10.336995124816895,71.62165641784668
mps-uncap,0.9,55.628418922424316,8617.867231369019,25.633573532104492
mig,0.9,174.16822910308838,16.329526901245117,136.72614097595215
mps-uncap,1.0,83.56904983520508,14117.499351501465,28.211474418640137
mig,1.0,675.9183406829834,142.45176315307617,633.4853172302246
mps-uncap,1.1,534.839391708374,17751.05583667755,41.14127159118652
mig,1.1,4418.1400537490845,3692.0413970947266,3836.8942737579346
mps-uncap,1.2,2227.9231548309326,19890.021800994873,43.47038269042969
mig,1.2,7257.966041564941,7238.637447357178,7566.162586212158
mps-uncap,1.3,9107.608199119568,23221.704602241516,58.661699295043945
mig,1.3,9194.090127944946,10412.240743637085,9397.371172904968
