mode,load,0_densenet169-32,1_mobilenet_v3_small-16,2_resnet101-16
mps-uncap,0.6,69.98364925384521,27.670812606811527,34.160637855529785
mig,0.6,119.57702636718751,14.775562286376955,106.97145462036134
mps-uncap,0.7,83.09187889099121,49.785709381103516,40.95842838287355
mig,0.7,164.5749092102051,17.926263809204105,160.51888465881348
mps-uncap,0.8,124.44400787353518,1379.8882961273193,46.35581970214843
mig,0.8,313.25683593750006,27.920246124267578,182.07221031188968
mps-uncap,0.9,139.06402587890625,14943.209362030031,58.12296867370606
mig,0.9,516.1793470382693,42.591452598571784,344.4223403930664
mps-uncap,1.0,236.22322082519526,24359.543108940125,71.96354866027836
mig,1.0,1264.92280960083,261.8140697479248,1520.9417343139648
mps-uncap,1.1,1763.3824348449707,31686.883759498593,103.7987232208252
mig,1.1,6407.952404022217,7198.270606994629,8334.150648117067
mps-uncap,1.2,3752.4741172790527,35413.45798969269,102.55813598632812
mig,1.2,13487.411713600162,13158.413934707642,12707.609653472902
mps-uncap,1.3,17141.989541053772,41116.419649124146,161.35540008544922
mig,1.3,16823.302602767944,19452.54902839661,19225.41630268097
