mode,load,0_densenet169-32,1_mobilenet_v3_small-16,2_resnet101-16
mps-uncap,0.6,44.814109802246094,17.982006072998047,30.992746353149414
mig,0.6,45.00842094421387,8.429527282714844,41.85771942138672
mps-uncap,0.7,43.260812759399414,17.90785789489746,32.2871208190918
mig,0.7,47.77646064758301,9.713411331176758,40.46988487243652
mps-uncap,0.8,44.25311088562012,18.98646354675293,31.631946563720703
mig,0.8,44.820308685302734,14.471769332885742,41.89491271972656
mps-uncap,0.9,43.76864433288574,23.064374923706055,31.552791595458984
mig,0.9,44.99101638793945,11.000633239746094,43.3199405670166
mps-uncap,1.0,44.04711723327637,18.465757369995117,31.579256057739258
mig,1.0,45.52006721496582,8.266925811767578,39.83330726623535
mps-uncap,1.1,53.91693115234375,18.1581974029541,33.50424766540527
mig,1.1,53.27939987182617,19.49620246887207,49.3011474609375
mps-uncap,1.2,55.60922622680664,19.286632537841797,33.54835510253906
mig,1.2,53.375244140625,18.07999610900879,48.841238021850586
mps-uncap,1.3,46.53525352478027,20.3399658203125,29.590845108032227
mig,1.3,47.74761199951172,11.301755905151367,41.0158634185791
