mode,load,0_densenet169-32,1_mobilenet_v3_small-16,2_resnet101-16
mps-uncap,0.6,467.2090461369896,2278.934791033878,266.06254653279944
mig,0.6,472.68169014833137,2266.53877340245,259.86005591888346
mps-uncap,0.7,557.392783168386,2648.6019116082157,294.13529173827106
mig,0.7,539.5230887744149,2708.482400462125,317.121455511318
mps-uncap,0.8,633.2429136584723,2963.374165568456,340.71756690495494
mig,0.8,643.8125903242859,3023.7619127695484,346.13960219078507
mps-uncap,0.9,703.8722514273132,2795.815192216779,379.5884183361518
mig,0.9,691.1238896072841,3430.663596153931,389.14023909943535
mps-uncap,1.0,772.60915814382,2649.999559896982,428.77706629597793
mig,1.0,769.1059901922445,3747.499089281588,432.1200857932227
mps-uncap,1.1,873.4008000935952,2581.7743446447485,475.8769923960367
mig,1.1,783.488766606385,3816.955306870004,438.14389535573565
mps-uncap,1.2,862.4774330469764,2529.355131629744,514.339862742698
mig,1.2,781.7548280076052,3826.4128423819157,438.6141638338794
mps-uncap,1.3,829.5975515988536,2460.801891111687,565.7808108471627
mig,1.3,782.8388527971896,3742.566372697724,437.5160285383921
