mode,load,0_densenet121-32,1_efficientnet_b6-32,2_resnet152-4
mps-uncap,0.6,581.8345329350891,138.89443836035653,151.68460966591184
mig,0.6,571.7109381483714,148.17290520794865,151.52673949718329
mps-uncap,0.7,694.0440582927384,171.859337590937,174.2799063687012
mig,0.7,664.7433102646858,171.21713507078908,174.55164254812541
mps-uncap,0.8,777.3984405006984,189.6043224317429,192.16772576154727
mig,0.8,762.2386966465388,191.97584837532216,200.28602846687858
mps-uncap,0.9,868.2028909366344,202.17286614335612,183.1066678037703
mig,0.9,907.5860204542674,204.63199496788036,234.02436175803905
mps-uncap,1.0,985.45827721767,233.72508114950602,164.2892244717939
mig,1.0,974.2419305901066,234.12828629812182,246.6071782240561
mps-uncap,1.1,1078.420770074646,252.09646212409547,152.69152983358754
mig,1.1,973.2905678406869,237.8262020972514,254.12620556011976
mps-uncap,1.2,1026.9967213469477,290.07397487536565,143.7199588921567
mig,1.2,975.4693535949643,237.44649126237408,254.47357302917712
mps-uncap,1.3,989.9543749718728,313.4357408592098,138.47903963850283
mig,1.3,972.1337951344815,237.14414694271466,253.61842995361982
