mode,load,0_densenet121-32,1_efficientnet_b6-32,2_resnet152-4
mps-uncap,0.6,102.8090476989746,79.38676834106447,155.03859519958485
mig,0.6,175.92780113220243,528.1026172637935,64.4407057762146
mps-uncap,0.7,180.01277208328244,97.15401649475088,375.5391216278075
mig,0.7,179.16606664657564,502.9046893119812,96.28520011901848
mps-uncap,0.8,206.86848163604708,165.6924796104435,7354.179239273071
mig,0.8,214.34040069580078,1517.9757833480835,184.30427074432373
mps-uncap,0.9,487.1584200859073,154.29569721221932,17634.175746440887
mig,0.9,625.4510021209717,925.3198075294493,470.4592680931089
mps-uncap,1.0,602.0940589904783,146.40912055969258,30316.513900756836
mig,1.0,1251.286826133728,3693.0088973045354,894.603443145752
mps-uncap,1.1,2409.668922424316,178.7725710868837,39895.52216529846
mig,1.1,8525.998587608337,10085.928335189821,6354.424257278442
mps-uncap,1.2,12031.882572174072,203.5685729980469,47491.57105922699
mig,1.2,12583.87268066406,13925.960040092468,15484.79706287384
mps-uncap,1.3,19635.9389424324,231.50904178619396,51275.00891685486
mig,1.3,22647.871918678284,14192.069721221926,21368.451056480408
