mode,load,0_densenet121-32,1_efficientnet_b6-32,2_resnet152-4
mps-uncap,0.6,0.0362396240234375,0.030159950256347656,15.161275863647461
mig,0.6,13.296842575073242,58.504343032836914,5.205631256103516
mps-uncap,0.7,10.028719902038574,0.027894973754882812,48.45452308654785
mig,0.7,20.787954330444336,83.58502388000488,10.089278221130371
mps-uncap,0.8,19.38772201538086,0.028848648071289062,3747.393846511841
mig,0.8,30.82454204559326,189.12363052368164,19.86241340637207
mps-uncap,0.9,39.01946544647217,0.027894973754882812,9431.90622329712
mig,0.9,148.24390411376953,168.98417472839355,53.389668464660645
mps-uncap,1.0,102.61678695678711,0.029087066650390625,16180.103778839111
mig,1.0,535.3133678436279,2124.944567680359,293.31016540527344
mps-uncap,1.1,1222.5522994995117,0.029802322387695312,20013.067722320557
mig,1.1,4139.45734500885,5704.77819442749,3067.4625635147095
mps-uncap,1.2,5881.017327308655,8.750677108764648,22911.96846961975
mig,1.2,6665.2209758758545,7288.906693458557,7998.951554298401
mps-uncap,1.3,9601.016640663147,12.114167213439941,26591.915130615234
mig,1.3,10872.787475585938,7199.9863386154175,10047.359704971313
