mode,load,0_densenet121-32,1_efficientnet_b6-32,2_resnet152-4
mps-uncap,0.6,74.49069023132328,91.95964336395264,103.64651679992676
mig,0.6,102.99501419067383,397.55291938781755,48.35836887359619
mps-uncap,0.7,98.02503585815438,98.61664772033693,258.2897663116456
mig,0.7,126.10545158386233,412.0389223098755,62.11543083190918
mps-uncap,0.8,142.2384262084961,115.70236682891846,6687.950944900514
mig,0.8,152.2843360900879,1237.9494190216067,111.52884960174562
mps-uncap,0.9,246.35093212127694,123.4220027923584,15434.57190990448
mig,0.9,465.45128822326666,655.7874679565431,252.6201725006103
mps-uncap,1.0,375.08502006530773,126.79095268249513,27702.202367782593
mig,1.0,1047.071647644043,3302.6687383651733,803.7352561950684
mps-uncap,1.1,2051.7830848693848,143.48943233490004,36349.50814247131
mig,1.1,8072.091031074525,9133.466911315918,5632.873034477234
mps-uncap,1.2,10387.51804828644,164.39061164855957,43332.810616493225
mig,1.2,11519.905805587769,13196.862697601318,14123.014235496525
mps-uncap,1.3,17470.68166732788,157.35657215118405,46505.291223526
mig,1.3,20717.362785339355,13081.935405731201,19145.556688308716
