mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-8,2_resnet18-4
mps-uncap,0.8,156.31987597299698,2501.4130054608336,1969.78637881461
mps-uncap,0.9,177.0104076639092,2785.9361364036045,2206.7785910245516
mps-uncap,1.0,197.70077080736183,3153.7081210435294,2467.108148701618
mps-uncap,0.5,100.7576236751627,1571.8878362311789,1276.4548410328725
mps-uncap,0.6,115.26675851204435,1938.6989566405482,1493.0348774799536
mps-uncap,0.7,140.35917958738312,2203.6107906611724,1742.3112420001205
mps-uncap,0.1,20.563469539367443,313.5970149495814,256.0302115678207
mps-uncap,0.2,37.59019287546025,653.7482270842803,503.9659464601874
mps-uncap,0.3,57.951774627770085,947.3625921670288,760.945082526558
mps-uncap,0.4,76.17462794070197,1291.744029126507,1028.0003651872398
