mode,load,0_efficientnet_b5-2,1_mobilenet_v3_small-8,2_resnet18-4
mps-uncap,0.8,8.423089981079102,2.310514450073242,1.1157989501953125
mps-uncap,0.9,8.72182846069336,2.295255661010742,1.115560531616211
mps-uncap,1.0,8.489847183227539,2.3229122161865234,1.1250972747802734
mps-uncap,0.5,8.482933044433594,2.3190975189208984,1.1119842529296875
mps-uncap,0.6,8.606433868408203,2.2771358489990234,1.1096000671386719
mps-uncap,0.7,8.47172737121582,2.3496150970458984,1.1134147644042969
mps-uncap,0.1,8.51297378540039,2.4023056030273438,1.1279582977294922
mps-uncap,0.2,8.619308471679688,2.311229705810547,1.1196136474609375
mps-uncap,0.3,8.4381103515625,2.310514450073242,1.1141300201416016
mps-uncap,0.4,8.38470458984375,2.382993698120117,1.1200904846191406
