mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-32,2_vgg11-16
mps-uncap,0.8,132.46825211655025,1072.8474051580513,1428.8506956600368
mps-uncap,0.9,157.38126067212266,1211.654734313865,1637.3781327246045
mps-uncap,1.0,152.77577570834302,1364.2150347863594,1822.040528855513
mps-uncap,0.5,80.12824839441114,659.925587221469,890.8632124552745
mps-uncap,0.6,93.77108337824295,836.1691274206764,1079.9627154143943
mps-uncap,0.7,114.03876239891841,904.3087451302514,1231.0285485521931
mps-uncap,0.1,17.947106673379942,139.19258758510048,186.2209481865522
mps-uncap,0.2,37.529916570438836,262.0552321662117,353.5829635576624
mps-uncap,0.3,50.58184112660663,385.2106503933589,535.277692927987
mps-uncap,0.4,66.53685292174853,548.4108544924782,721.077867336861
