mode,load,0_efficientnet_b7-16,1_mobilenet_v3_large-32,2_vgg11-16
mps-uncap,0.8,26.952743530273438,4.847049713134766,5.419015884399414
mps-uncap,0.9,27.819395065307617,4.912137985229492,5.391359329223633
mps-uncap,1.0,28.371095657348633,4.893302917480469,5.462646484375
mps-uncap,0.5,26.63254737854004,4.852771759033203,5.388975143432617
mps-uncap,0.6,26.875972747802734,4.884958267211914,5.377769470214844
mps-uncap,0.7,26.910781860351562,4.8656463623046875,5.4111480712890625
mps-uncap,0.1,26.624679565429688,4.878997802734375,5.42140007019043
mps-uncap,0.2,26.740550994873047,4.849910736083984,5.403280258178711
mps-uncap,0.3,26.69215202331543,4.841804504394531,5.398273468017578
mps-uncap,0.4,26.742219924926758,4.838705062866211,5.418539047241211
