mode,load,0_alexnet-8,1_resnet152-2,2_resnet152-8
mps-uncap,1.0,2.6085376739501953,17.43521690368652,18.910555839538574
mig,1.0,2.3796558380126953,14.635841846466066,28.061432838439945
