mode,load,0_densenet169-32,1_mobilenet_v3_large-16,2_vgg19-2
mps-uncap,0.8,60.22214889526367,9.64665412902832,6.378650665283203
mps-uncap,0.9,64.32008743286133,12.551665306091309,9.247303009033203
mps-uncap,1.0,594.0554141998291,362.3950481414795,111.01913452148438
mps-uncap,0.5,27.984619140625,6.991028785705566,3.1549930572509766
mps-uncap,0.6,31.327009201049805,7.067680358886719,3.836393356323242
mps-uncap,0.7,36.4072322845459,7.160425186157227,4.56690788269043
mps-uncap,0.1,23.495197296142578,7.216691970825195,2.554178237915039
mps-uncap,0.2,23.12159538269043,7.22813606262207,2.530336380004883
mps-uncap,0.3,23.831844329833984,7.357478141784668,2.5594234466552734
mps-uncap,0.4,25.649189949035645,7.341861724853516,2.7947425842285156
