mode,load,0_densenet169-32,1_mobilenet_v3_large-16,2_vgg19-2
mps-uncap,0.8,20.920753479003906,2.829313278198242,2.223968505859375
mps-uncap,0.9,20.929574966430664,2.8047561645507812,2.237081527709961
mps-uncap,1.0,20.54595947265625,4.198789596557617,2.322673797607422
mps-uncap,0.5,20.378828048706055,2.803325653076172,2.233743667602539
mps-uncap,0.6,20.290374755859375,2.806425094604492,2.2177696228027344
mps-uncap,0.7,20.456314086914062,2.8007030487060547,2.2125244140625
mps-uncap,0.1,20.37334442138672,2.8319358825683594,2.2351741790771484
mps-uncap,0.2,20.3402042388916,2.8297901153564453,2.228260040283203
mps-uncap,0.3,20.31421661376953,2.831697463989258,2.2230148315429688
mps-uncap,0.4,20.30181884765625,2.811431884765625,2.227306365966797
