mode,load,0_densenet169-32,1_mobilenet_v3_large-16,2_vgg19-2
mps-uncap,0.8,252.96998023986816,82.34167098999023,53.82680892944336
mps-uncap,0.9,646.5590000152588,150.7549285888672,84.10024642944336
mps-uncap,1.0,1549.285650253296,760.6863975524902,473.45781326293945
mps-uncap,0.5,129.01711463928223,28.15842628479004,18.67985725402832
mps-uncap,0.6,137.65287399291992,32.532691955566406,26.559114456176758
mps-uncap,0.7,214.77699279785156,39.63494300842285,29.53052520751953
mps-uncap,0.1,26.73649787902832,16.280412673950195,4.654169082641602
mps-uncap,0.2,32.43446350097656,13.259649276733398,11.781692504882812
mps-uncap,0.3,41.80335998535156,24.0020751953125,12.964487075805664
mps-uncap,0.4,65.7813549041748,30.913591384887695,11.480093002319336
