mode,load,0_densenet161-2,1_resnet18-4,2_squeezenet1_0-4
mps-uncap,0.8,118.81673109054451,1592.759029159392,1608.3287979376953
mps-uncap,0.9,118.34880668904377,1830.186589670352,1821.8403547640735
mps-uncap,1.0,119.84026408803702,1944.3353995540976,1946.8212924990196
mps-uncap,0.5,83.95883711144437,1002.2394888387488,1003.0990061378966
mps-uncap,0.6,101.99915520370575,1195.289349058635,1222.8773588718973
mps-uncap,0.7,111.55971830880826,1384.1336211152832,1410.4016731332554
mps-uncap,0.1,17.93283943398922,206.46066751605102,203.7299098809717
mps-uncap,0.2,33.83442496790934,400.21369951676024,406.9020996000116
mps-uncap,0.3,48.73777319104529,600.4711853746658,611.3477131200561
mps-uncap,0.4,63.69083018832057,812.379725807976,807.605836656537
