mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_squeezenet1_1-8
mps-uncap,1.0,21.404266357421875,13.61227035522461,10.11204719543457
mig,1.0,23.086071014404297,15.786170959472656,17.294883728027344
