mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_squeezenet1_1-8
mps-uncap,1.0,3605.000989253518,2497.242184749132,1938.9231133417466
mig,1.0,3167.3834726312916,2337.0256871775396,2506.9238710248164
