mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_squeezenet1_1-8
mps-uncap,1.0,8.955001831054688,1.398324966430664,3.414630889892578
mig,1.0,10.039091110229492,1.6782283782958984,3.145933151245117
