mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_squeezenet1_1-8
mps-uncap,1.0,0.02002716064453125,0.007152557373046875,0.007867813110351562
mig,1.0,0.00667572021484375,0.008821487426757812,0.00762939453125
