mode,load,0_mobilenet_v3_large-32,1_alexnet-4,2_squeezenet1_1-8
mps-uncap,1.0,9.356188774108887,2.5587081909179688,5.741119384765625
mig,1.0,10.482573509216309,1.8162727355957031,3.379726409912109
