mode,load,0_squeezenet1_0-4,1_squeezenet1_0-4
mig,0.1,2.2139549255371094,2.2246837615966797
mig,0.2,1.8963813781738281,2.206563949584961
mig,0.3,1.7766952514648438,2.0799636840820312
mig,0.4,1.7352104187011719,1.9924640655517578
mig,0.5,1.7733573913574219,1.9440650939941406
mig,0.6,1.7375946044921875,1.947164535522461
mig,0.7,1.7938613891601562,1.9474029541015625
mig,0.8,1.9042491912841797,2.210378646850586
mig,0.9,1.9040107727050781,2.232074737548828
mig,1.0,1.9412040710449219,2.2220611572265625
