mode,load,0_squeezenet1_0-4,1_squeezenet1_0-4
mig,0.1,2.1805763244628906,2.2003650665283203
mig,0.2,1.8758773803710938,2.187490463256836
mig,0.3,1.7404556274414062,2.048015594482422
mig,0.4,1.7027854919433594,1.978158950805664
mig,0.5,1.7468929290771484,1.9297599792480469
mig,0.6,1.7032623291015625,1.9276142120361328
mig,0.7,1.7261505126953125,1.9278526306152344
mig,0.8,1.7311573028564453,1.9257068634033203
mig,0.9,1.7371177673339844,1.9309520721435547
mig,1.0,1.7116069793701172,1.9314289093017578
