mode,load,0_vgg16-32,1_vgg16-32,2_vgg16-32,3_vgg16-32
mig,0.1,38.31251633546773,47.18855961005319,43.088661717001756,27.580346474380146
mig,0.2,92.01545888619441,100.78740950610619,82.80733823368028,46.541062625128866
mig,0.3,138.67135496874016,156.05220279365096,141.6749362005862,77.87736882785451
mig,0.4,191.6295723476696,198.86124017928185,201.64913666224987,101.44952608516935
mig,0.5,245.78542274587363,227.75740593498725,223.9959252009179,125.29226089808284
mig,0.6,276.7085566408846,297.62822408397295,257.1055752558949,146.0234738912729
mig,0.7,329.6724361760828,314.83116925991175,324.23709316383747,177.29868425293665
mig,0.8,400.6217615200945,385.52118250751687,393.18449465315257,183.26857832737426
mig,0.9,407.29094854393185,460.45536357252297,435.7464088239733,211.17996014490947
mig,1.0,487.2530186145384,461.2101562310223,481.18009367878346,220.52431527749272
