mode,load,0_densenet201-16,1_efficientnet_b7-16,2_mobilenet_v3_large-8
mps-uncap,0.8,272.48934118611965,309.81266436702623,723.9529752103745
mps-uncap,0.9,323.4401792049181,355.58842301975466,816.8887493472736
mps-uncap,1.0,345.61806057946546,396.74493033602414,926.809962242669
mps-uncap,0.5,166.08211508738253,185.19252142834264,448.22275144094607
mps-uncap,0.6,203.4440423611142,232.59512356879884,553.3536957247933
mps-uncap,0.7,250.21675864073748,293.21342095193256,640.0603712686938
mps-uncap,0.1,32.86792709018989,34.216952281537324,92.82429862239529
mps-uncap,0.2,66.74736379072856,80.09225123839856,178.28300458575902
mps-uncap,0.3,107.23982220785825,117.6545933501148,274.5945507523642
mps-uncap,0.4,132.02825215027175,164.94582571280276,372.68610901117813
