mode,load,0_densenet201-16,1_efficientnet_b7-16,2_mobilenet_v3_large-8
mps-uncap,0.8,44.21933174133301,41.641740798950195,12.134704589843748
mps-uncap,0.9,41.8222427368164,41.91955804824829,13.789539337158203
mps-uncap,1.0,41.9630742073059,42.48087406158447,13.557124137878418
mps-uncap,0.5,42.318267822265625,40.19685983657837,11.544549465179438
mps-uncap,0.6,42.725234031677246,40.403892993927,11.212825775146484
mps-uncap,0.7,43.91568183898926,41.32996082305908,11.995472908020018
mps-uncap,0.1,37.61656045913696,36.24458312988281,9.550876617431625
mps-uncap,0.2,39.26689147949219,37.470760345458984,9.842634201049803
mps-uncap,0.3,39.15978670120239,39.06398296356201,10.701565742492676
mps-uncap,0.4,41.32443189620972,38.928968906402595,10.543217658996586
