mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,6.187295913696289,2.7039051055908203,11.630916595458984
mps-uncap,0.9,6.175088882446289,2.7418136596679688,11.751532554626465
mps-uncap,1.0,6.63740634918213,2.6450157165527344,11.857867240905762
mps-uncap,0.5,8.085942268371582,3.8192272186279297,12.316370010375977
mps-uncap,0.6,7.078170776367191,2.812480926513672,11.593484878540039
mps-uncap,0.7,6.21623992919922,2.7231216430664062,11.658287048339844
mps-uncap,0.1,12.307882308959961,6.229829788208008,17.598390579223633
mps-uncap,0.2,11.977052688598633,6.026744842529297,18.262887001037598
mps-uncap,0.3,11.388063430786133,5.469369888305663,17.062020301818848
mps-uncap,0.4,9.087324142456055,4.108190536499023,13.288784027099611
