mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,54.89754676818848,38.03420066833496,118.99924278259277
mps-uncap,0.9,89.45488929748535,57.68990516662598,227.44083404541016
mps-uncap,1.0,256.17384910583496,148.00477027893066,580.045223236084
mps-uncap,0.5,35.73346138000488,19.417524337768555,41.44859313964844
mps-uncap,0.6,40.54093360900879,21.967649459838867,74.15437698364258
mps-uncap,0.7,45.058250427246094,35.73489189147949,115.95749855041504
mps-uncap,0.1,19.08135414123535,15.23900032043457,26.674270629882812
mps-uncap,0.2,36.24320030212402,26.647329330444336,41.20016098022461
mps-uncap,0.3,31.25166893005371,23.333311080932617,53.492069244384766
mps-uncap,0.4,33.45489501953125,23.76699447631836,54.70919609069824
