mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,4.852771759033203,2.313852310180664,8.72492790222168
mps-uncap,0.9,4.790782928466797,2.3250579833984375,8.829355239868164
mps-uncap,1.0,4.841327667236328,2.343893051147461,9.734630584716797
mps-uncap,0.5,4.7283172607421875,2.3086071014404297,8.741378784179688
mps-uncap,0.6,4.721641540527344,2.3212432861328125,8.811712265014648
mps-uncap,0.7,4.802942276000977,2.3145675659179688,8.841514587402344
mps-uncap,0.1,4.920482635498047,2.367734909057617,8.765935897827148
mps-uncap,0.2,4.84013557434082,2.3479461669921875,8.783340454101562
mps-uncap,0.3,4.878997802734375,2.2873878479003906,8.8348388671875
mps-uncap,0.4,4.771232604980469,2.2902488708496094,8.831501007080078
