mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,252.03318102558805,1280.9374612938461,530.0956425097706
mps-uncap,0.9,282.61847490900914,1407.7236922307916,610.8737275049757
mps-uncap,1.0,317.08316360809357,1604.3124279356375,670.2712611338658
mps-uncap,0.5,164.122846137005,809.9065725963369,336.0902370515504
mps-uncap,0.6,192.288395125789,953.4660834854144,391.6805730238253
mps-uncap,0.7,225.2619627538078,1099.2727777491725,481.08698405433705
mps-uncap,0.1,32.2362592554451,154.6093490741723,69.13434615004621
mps-uncap,0.2,60.84234887087666,318.90875801118085,131.70266683508441
mps-uncap,0.3,94.48965033329885,479.06187613945843,197.21207267385324
mps-uncap,0.4,130.2078844208982,628.9516210887778,282.7877130189492
