mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,7.094941139221191,2.9490780830383296,11.920089721679686
mps-uncap,0.9,6.652674674987794,2.9566287994384766,11.947927474975588
mps-uncap,1.0,6.833226680755614,2.853012084960938,11.999666690826416
mps-uncap,0.5,9.442179203033449,4.3634891510009695,13.796224594116213
mps-uncap,0.6,8.76157283782959,4.026780128479004,12.937126159667978
mps-uncap,0.7,7.836151123046878,3.404998779296873,12.221193313598627
mps-uncap,0.1,13.343160152435303,6.7841410636901855,18.790769577026364
mps-uncap,0.2,13.318169116973877,6.610236167907715,20.007269382476803
mps-uncap,0.3,13.327169418334964,6.294295787811281,19.70447063446045
mps-uncap,0.4,11.38496398925782,5.507969856262207,17.287435531616214
