mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,60.840606689453125,40.468692779541016,129.4705867767334
mps-uncap,0.9,94.71464157104492,60.13011932373047,238.9693260192871
mps-uncap,1.0,262.44211196899414,150.36320686340332,591.8407440185547
mps-uncap,0.5,41.288137435913086,21.89350128173828,51.75900459289551
mps-uncap,0.6,45.281171798706055,24.29366111755371,84.81812477111816
mps-uncap,0.7,51.156044006347656,38.587331771850586,126.95074081420898
mps-uncap,0.1,29.735088348388672,20.746231079101562,38.34176063537598
mps-uncap,0.2,44.20614242553711,30.436277389526367,53.50613594055176
mps-uncap,0.3,39.299964904785156,27.121782302856445,62.37602233886719
mps-uncap,0.4,39.24298286437988,26.46780014038086,64.34249877929688
