mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,9.395837783813477,4.065036773681641,13.045310974121094
mps-uncap,0.9,8.792400360107422,3.695249557495117,13.097763061523438
mps-uncap,1.0,8.960247039794922,3.643035888671875,12.990951538085938
mps-uncap,0.5,11.5966796875,5.93256950378418,17.282724380493164
mps-uncap,0.6,10.087728500366211,5.995988845825195,14.237642288208008
mps-uncap,0.7,9.664773941040039,5.279541015625,14.035701751708984
mps-uncap,0.1,13.763666152954102,7.656097412109375,19.487857818603516
mps-uncap,0.2,13.671159744262695,7.096052169799805,20.23911476135254
mps-uncap,0.3,14.088153839111328,9.795665740966797,20.116567611694336
mps-uncap,0.4,13.267040252685547,6.751537322998047,20.025968551635742
