mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,0.009298324584960938,0.008106231689453125,0.010728836059570312
mps-uncap,0.9,0.009775161743164062,0.00858306884765625,0.0095367431640625
mps-uncap,1.0,0.011205673217773438,0.009775161743164062,0.012159347534179688
mps-uncap,0.5,0.008821487426757812,0.008344650268554688,0.010251998901367188
mps-uncap,0.6,0.008821487426757812,0.007867813110351562,0.010728836059570312
mps-uncap,0.7,0.009298324584960938,0.00762939453125,0.011205673217773438
mps-uncap,0.1,0.011444091796875,0.011444091796875,0.011920928955078125
mps-uncap,0.2,0.011444091796875,0.009298324584960938,0.012159347534179688
mps-uncap,0.3,0.011205673217773438,0.009775161743164062,0.012159347534179688
mps-uncap,0.4,0.010251998901367188,0.008344650268554688,0.009775161743164062
