mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,36.54426097869874,22.589030265808095,77.52486228942868
mps-uncap,0.9,51.52924537658694,37.30568885803225,159.50173139572152
mps-uncap,1.0,225.74044466018674,125.99811553955095,527.0205736160278
mps-uncap,0.5,20.058722496032733,11.305212974548335,29.806013107299833
mps-uncap,0.6,20.26923656463622,11.431374549865705,36.10256195068365
mps-uncap,0.7,23.309412002563484,15.475940704345629,58.17227840423581
mps-uncap,0.1,12.015066146850575,8.416476249694824,16.261672973632812
mps-uncap,0.2,18.433139324188204,13.380937576293944,23.014845848083485
mps-uncap,0.3,19.978570938110366,13.732204437255861,30.57447671890256
mps-uncap,0.4,19.60966587066652,12.223660945892327,24.876470565795916
