mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,42.12686538696289,25.130939483642507,88.41195106506346
mps-uncap,0.9,57.20869064331063,39.73846435546878,170.05436658859279
mps-uncap,1.0,231.58059120178223,128.38697433471683,538.7202501296997
mps-uncap,0.5,26.159577369689956,14.320540428161618,40.510282516479506
mps-uncap,0.6,26.064996719360348,13.86735916137692,46.94694519042975
mps-uncap,0.7,28.56719493865968,17.89708137512206,67.81012058258048
mps-uncap,0.1,23.517389297485348,13.974461555480962,32.159423828125
mps-uncap,0.2,28.23186635971067,17.924184799194336,35.726187229156494
mps-uncap,0.3,27.94518470764162,17.611932754516605,43.072152137756326
mps-uncap,0.4,26.048493385314952,15.533208847045891,35.885467529296875
