mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,4.79578971862793,2.2821426391601562,8.690118789672852
mps-uncap,0.9,4.74095344543457,2.2842884063720703,8.719205856323242
mps-uncap,1.0,4.715919494628906,2.2764205932617188,9.176254272460938
mps-uncap,0.5,4.696369171142578,2.2721290588378906,8.70370864868164
mps-uncap,0.6,4.661798477172852,2.2788047790527344,8.785247802734375
mps-uncap,0.7,4.74858283996582,2.2749900817871094,8.813619613647461
mps-uncap,0.1,4.8160552978515625,2.329111099243164,8.732795715332031
mps-uncap,0.2,4.79888916015625,2.3119449615478516,8.768558502197266
mps-uncap,0.3,4.841804504394531,2.2449493408203125,8.81052017211914
mps-uncap,0.4,4.690885543823242,2.262592315673828,8.815765380859375
