mode,load,0_inception_v3-2,1_mobilenet_v3_small-4,2_resnet152-8
mps-uncap,0.8,23.15719127655029,13.815855979919428,52.40182876586914
mps-uncap,0.9,32.74016380310058,23.00429344177246,88.40374946594238
mps-uncap,1.0,173.35772514343273,92.63253211975098,391.88992977142334
mps-uncap,0.5,15.471363067626955,7.55763053894043,23.788785934448246
mps-uncap,0.6,15.259742736816406,7.729339599609374,27.726411819458015
mps-uncap,0.7,17.243480682373054,9.603548049926758,37.821006774902344
mps-uncap,0.1,16.045141220092773,8.79049301147461,22.49598503112793
mps-uncap,0.2,19.093966484069828,11.189174652099608,23.903203010559103
mps-uncap,0.3,18.053293228149414,10.538578033447266,24.366116523742676
mps-uncap,0.4,16.478538513183594,9.255290031433105,22.981214523315433
