mode,load,0_efficientnet_b5-32,1_efficientnet_b6-32,2_inception_v3-4
mps-uncap,0.8,405.7989525794981,490.0703167915342,114.66759681701672
mps-uncap,0.9,1809.586100578308,3344.1493558883667,1143.563270568848
mps-uncap,1.0,4249.3980503082275,8541.077423095703,6613.866591453552
mps-uncap,0.5,146.24550819396921,122.95981168746953,52.45919466018677
mps-uncap,0.6,197.07519292831432,190.68534374237046,76.8327951431274
mps-uncap,0.7,309.5109939575195,326.59477233886713,69.26428794860837
mps-uncap,0.1,45.2115535736084,47.938666343688936,15.221972465515137
mps-uncap,0.2,31.200842857360836,34.080145359039314,19.736824035644524
mps-uncap,0.3,49.23397302627563,63.19680213928225,25.596785545349043
mps-uncap,0.4,56.33344650268567,156.49462938308812,23.647096157074056
