mode,load,0_efficientnet_b5-32,1_efficientnet_b6-32,2_inception_v3-4
mps-uncap,0.8,425.7159796268794,393.57078424229155,93.39959868117401
mps-uncap,0.9,516.7251349132518,439.08058405390034,109.04978031954003
mps-uncap,1.0,543.2259374653665,422.96159636391747,113.4466669825628
mps-uncap,0.5,291.64312012215953,242.9056786411195,61.40328227084368
mps-uncap,0.6,324.7946409094618,313.4980078647026,75.49795974444116
mps-uncap,0.7,391.81394123698647,333.4822900281963,83.38593510075864
mps-uncap,0.1,58.907929262686835,48.20484209082047,10.54446972315147
mps-uncap,0.2,99.05495551828011,92.16154629480164,24.631290691397652
mps-uncap,0.3,154.37480249391206,152.34077964103258,37.48211788398156
mps-uncap,0.4,202.89523787254453,176.716433594532,50.026928312535375
