mode,load,0_efficientnet_b5-32,1_efficientnet_b6-32,2_inception_v3-4
mps-uncap,0.8,473.0401039123535,543.7586307525635,146.56305313110352
mps-uncap,0.9,1887.2108459472656,3490.0994300842285,1276.1201858520508
mps-uncap,1.0,4457.4620723724365,8882.357597351074,6711.359739303589
mps-uncap,0.5,175.6138801574707,175.62508583068848,102.35261917114258
mps-uncap,0.6,266.36219024658203,296.9512939453125,145.6904411315918
mps-uncap,0.7,393.82481575012207,440.66619873046875,97.50080108642578
mps-uncap,0.1,66.0400390625,50.95195770263672,15.757083892822266
mps-uncap,0.2,45.62997817993164,49.34191703796387,25.274276733398438
mps-uncap,0.3,68.7417984008789,84.87749099731445,43.00642013549805
mps-uncap,0.4,66.51830673217773,242.9506778717041,56.28228187561035
