mode,load,0_efficientnet_b6-4,1_efficientnet_b6-4
mig,0.1,17.1051025390625,17.241716384887695
mig,0.2,17.496109008789062,17.52018928527832
mig,0.3,17.394304275512695,17.43912696838379
mig,0.4,17.64392852783203,17.35973358154297
mig,0.5,17.452239990234375,17.239809036254883
mig,0.6,17.314910888671875,17.563343048095703
mig,0.7,17.648696899414062,17.728328704833984
mig,0.8,17.972707748413086,17.822742462158203
mig,0.9,17.969608306884766,18.6922550201416
mig,1.0,17.839431762695312,17.574071884155273
